,tweet_id,age,author
0,1717288104942301686,22608,ETHANWlNTERS
1,1717355484645089648,6543,petalxdance
2,1717294965561413887,20972,Nintendeal
3,1717328558660464689,12963,tls123_twt
4,1717328558660464689,12963,butterpeanutstn
5,1717328547960811806,12966,petalxdance
6,1717321155885867421,14728,jnoelmanuel
7,1717321155885867421,14728,shaheen_306
8,1717302653863313780,19139,DA1LYKRIS
9,1717302653863313780,19139,spookygloopz
10,1717287621733322834,22723,LexiAlex
11,1717287621733322834,22723,PeruginiNic
12,1717283126571929981,23795,fubroshi
13,1717283126571929981,23795,Variety
14,1717353258766008581,7074,Lexx__Nova
15,1717353258766008581,7074,Lexx__Nova
16,1717353160740913641,7097,AnimatormeO
17,1717353121448657271,7107,Rafal_Legato
18,1717352929877954561,7152,dymitrex_Fox
19,1717352715788173347,7204,NinWire
20,1717352715788173347,7204,NinWire
21,1717352575258009683,7237,spottiestosprey
22,1717351851123749273,7410,petalxdance
23,1717351587398500479,7473,Remroum
24,1717280998063223005,24302,MargBarAmerica
25,1717280998063223005,24302,Mondoweiss
26,1717351270456127673,7548,indigothegogo
27,1717350224295784658,7798,Eerb_ing
28,1717350172647133377,7810,dailyasmodeus
29,1717350056104227061,7838,AriOhLa
30,1717349723168784568,7917,intokaneshiro
31,1717349073336897783,8072,basicbarbiez
32,1717348478962032938,8214,yanti8ve
33,1717347856904769868,8362,marielightful
34,1717347654659645673,8410,artemara_
35,1717347571323289877,8430,NinEverything
36,1717347206192120215,8517,cwnsouls
37,1717346692419240353,8640,petalxdance
38,1717345917118890286,8824,not0tomorrow
39,1717345594359042126,8901,MeTTa_71
40,1717345567049908550,8908,BluetornadoKDMC
41,1717345567049908550,8908,rrawrrart
42,1717345317186568369,8967,syokuyoku_max_
43,1717345302976323976,8971,NinWire
44,1717345300786839621,8971,PeacockTVCare
45,1717345300786839621,8971,FNAFAlerts
46,1717344793045389721,9092,ETHANWlNTERS
47,1717344469656191239,9170,hunieday
48,1717342845789778091,9557,d1edre
49,1717342568051032194,9623,petalxdance
50,1717340758423007512,10054,Illusionism_Art
51,1717339591374442686,10333,takapon_o_ji21
52,1717339579441643703,10335,TeamSilentHill
53,1717339534457794757,10346,RE_Games
54,1717339251707134116,10414,MariaMari0nette
55,1717339251707134116,10414,NIJISANJI_World
56,1717335731432046894,11253,tobiyolos
57,1717335148826431777,11392,petalxdance
58,1717334507316199681,11545,kaisouafuro
59,1717330502288327016,12500,deadlyclaris
60,1717279436255473738,24675,gomanga
61,1717330204082033031,12571,NinWire
62,1717330093474001281,12597,Ayiiiyiii
63,1717329292743282875,12788,b0_nesaw
64,1717329125646434756,12828,ranka_pic
65,1717328204061409340,13048,petalxdance
66,1717328034515341684,13088,LtTibbles
67,1717328034515341684,13088,paprbckparadise
68,1717325741942095901,13635,corndanish
69,1717325741942095901,13635,corndanish
70,1717325598677467620,13669,nannkizum
71,1717325291994087640,13742,hewworeese
72,1717324547307835773,13919,754_0711
73,1717324430295064814,13947,WithTheWill
74,1717324421558399357,13949,WithTheWill
75,1717323942271021338,14064,WithTheWill
76,1717323406905852039,14191,WithTheWill
77,1717322722752053677,14354,mzt_mgmg
78,1717322052732875073,14514,cid_higell
79,1717321925439918345,14545,akisenqi
80,1717321925439918345,14545,mamadayoP
81,1717321712843231366,14595,Aaronsballss
82,1717321712843231366,14595,akisenqi
83,1717321656329187344,14609,horror4kids
84,1717321511306981836,14643,bbcdoctorwho
85,1717321210915123264,14715,dznyella
86,1717321210915123264,14715,TwittyLitt26713
87,1717319053126336969,15229,LunaNoctuArts
88,1717318434390675783,15377,PkmnShitpost
89,1717318359774105652,15395,_mochiwei
90,1717318308611912177,15407,ETHANWlNTERS
91,1717317642627711105,15566,sanriodaily
92,1717317557630198257,15586,Mokiette
93,1717316927096238373,15736,submin88
94,1717316274341003280,15892,jupy314
95,1717316240966844499,15900,E__hiyori_
96,1717316226869838283,15903,gohan_0222
97,1717298487946264911,20132,Nrtonkissr
98,1717315877476110450,15986,spiderzlover
99,1717315845029089706,15994,anchrovy
100,1717315106814431678,16170,NinWire
101,1717312082402594964,16891,RetroTechDreams
102,1717311456088338629,17041,signeswan
103,1717310559958233544,17254,NinEverything
104,1717310389237731619,17295,crocrubies
105,1717310389237731619,17295,MARIT0SHI
106,1717310355309998562,17303,monicracar
107,1717309472287363527,17514,anmin_sitai
108,1717307107530490142,18077,adsk4
109,1717305633077125302,18429,petalxdance
110,1717303993490178115,18820,pocketmuqing
111,1717303206944870819,19007,ETHANWlNTERS
112,1717303174296371351,19015,sanriodaily
113,1717302108628889978,19269,gabunomi6969
114,1717302095341068292,19272,sagethafugitive
115,1717302095341068292,19272,kaitlancollins
116,1717301580616360112,19395,azigashimishimi
117,1717301281751265439,19466,anmin_sitai
118,1717300214468431906,19721,corndanish
119,1717300186190676055,19728,Gzeidraws
120,1717300004300402788,19771,NinWire
121,1717299371103101074,19922,passionbootys
122,1717298930671591883,20027,withhualian
123,1717288436393025550,22529,Quantum_Error
124,1717297548468342819,20356,anarogiizu
125,1717296315153977490,20650,valveirony
126,1717294849362407656,21000,DancingPurge
127,1717291389879259225,21825,tls123_twt
128,1717291206076498168,21869,OmySpyYT
129,1717290112180977881,22129,MonicaLMarks
130,1717290112180977881,22129,Beltrew
131,1717290069424255375,22140,m7mdkurd
132,1717290010863443991,22154,hamiltonnolan
133,1717289622328266873,22246,Cyb4rAnGeL
134,1717289622328266873,22246,nihiinn
135,1717288583613276406,22494,RoamingTuna
136,1717285896209281049,23135,nohc__
137,1717285251981205738,23288,LunaNoctuArts
138,1717284899663597657,23372,NinWire
139,1717284745862652160,23409,suyapipi_
140,1717277609342701846,25110,NinEverything
141,1717276213612314970,25443,sanriodaily
142,1717275995542089729,25495,WebDesignMuseum
143,1717275931436552446,25510,TheeDanniee
144,1717275724766425295,25560,image_origins
145,1717274316922904734,25895,saihahas
146,1717273614846927149,26063,JawsClawsPaws
147,1717273003430474022,26208,ETHANWlNTERS
148,1717273000423403826,26209,ghostpotion_art
149,1717272972610920867,26216,p9qx1
150,1717269802148929732,26972,NinWire
151,1717263941909299467,28369,shynyn106615
152,1717263911580311731,28376,shynyn106615
153,1717263101609889959,28569,hualianful
154,1717263068780978394,28577,withhualian
155,1717262506521940272,28711,gremlinyibito
156,1717262388443959660,28739,ggang_gr
157,1717255590156595613,30360,gomanga
158,1717262251735110127,28772,NinWire
159,1717261835643113550,28871,i6gumang
160,1717261669947023757,28911,swcozy
161,1717260234698154444,29253,chuanaye
162,1717253202591068193,30929,deadlyclaris
163,1717259595775987725,29405,adsk4
164,1717259549424431489,29416,chuanaye
165,1717257901734072801,29809,ETHANWlNTERS
166,1717255874094235970,30292,gomanga
167,1717255874094235970,30292,_knshoujo
168,1717255732691980589,30326,Nintendeal
169,1717255393045348748,30407,ImaginaryCanvas
170,1717255009581388087,30499,Nintendeal
171,1717254704055320736,30571,NinWire
172,1717254479114846400,30625,deadlyclaris
173,1717253893090881606,30765,Obviouslywaffle
174,1717253893090881606,30765,deadlyclaris
175,1717253798211600427,30787,SockFlower
176,1717253540417073365,30849,G_R_S__
177,1717253540417073365,30849,petalxdance
178,1717253454500941888,30869,G_R_S__
179,1717253162044711196,30939,shiiqingxuans
180,1717249972264227138,31699,Nintendeal
181,1717248292931678542,32100,Ayo_D5
182,1717248281275740271,32103,tont_to
183,1717248249537376616,32110,Ms_HiromaRika
184,1717248239064289775,32113,N_KuroYami
185,1717248226246418580,32116,minaduki964
186,1717248226246418580,32116,minaduki964
187,1717248212635992276,32119,amedama094
188,1717245427945210319,32783,petalxdance
189,1717248205698498601,32121,ablacksunset
190,1717248122882265289,32140,Nintendeal
191,1717247040302846302,32399,i6gumang
192,1717245966141870592,32655,Nintendeal
193,1717245842803875960,32684,cresfeather
194,1717245171748794704,32844,rat_wacky
195,1717244991100064216,32887,cresfeather
196,1717244542410223778,32994,SpiritusLullaby
197,1717242800142516425,33409,ETHANWlNTERS
198,1717241682251731033,33676,Rrrrnessa
199,1717241404634943937,33742,AlnaouqA
